time,open,high,low,close
2014-02-20T08:00:00Z,1.6685,1.66857,1.66347,1.66543
2014-02-20T12:00:00Z,1.66543,1.66993,1.66434,1.66571
2014-02-20T16:00:00Z,1.66571,1.66648,1.66244,1.66583
2014-02-20T20:00:00Z,1.66583,1.66633,1.66479,1.66605
2014-02-21T00:00:00Z,1.66605,1.66639,1.66447,1.66483
2014-02-21T04:00:00Z,1.66483,1.66713,1.66359,1.66664
2014-02-21T08:00:00Z,1.66664,1.66873,1.66106,1.66643
2014-02-21T12:00:00Z,1.66643,1.6724,1.66551,1.66848
2014-02-21T16:00:00Z,1.66848,1.66933,1.6612,1.66429
2014-02-21T20:00:00Z,1.66429,1.66464,1.66068,1.66303
2014-02-24T00:00:00Z,1.66303,1.66383,1.6626,1.66357
2014-02-24T04:00:00Z,1.66357,1.66513,1.6626,1.66273
2014-02-24T08:00:00Z,1.66273,1.66782,1.65985,1.66385
2014-02-24T12:00:00Z,1.66385,1.66549,1.65826,1.66292
2014-02-24T16:00:00Z,1.66292,1.66693,1.66198,1.66635
2014-02-24T20:00:00Z,1.66635,1.66671,1.6648,1.6654
2014-02-25T00:00:00Z,1.6654,1.66703,1.66446,1.66598
2014-02-25T04:00:00Z,1.66598,1.6683,1.66593,1.66714
2014-02-25T08:00:00Z,1.66714,1.67056,1.66634,1.6688
2014-02-25T12:00:00Z,1.6688,1.67227,1.66413,1.66819
2014-02-25T16:00:00Z,1.66819,1.67263,1.66734,1.66763
2014-02-25T20:00:00Z,1.66763,1.66873,1.66619,1.66743
2014-02-26T00:00:00Z,1.66743,1.66804,1.66686,1.66753
2014-02-26T04:00:00Z,1.66753,1.66893,1.66682,1.66705
2014-02-26T08:00:00Z,1.66705,1.67013,1.66599,1.66899
2014-02-26T12:00:00Z,1.66899,1.66923,1.6621,1.66386
2014-02-26T16:00:00Z,1.66386,1.66633,1.6628,1.66623
2014-02-26T20:00:00Z,1.66623,1.66723,1.66596,1.66651
2014-02-27T00:00:00Z,1.66651,1.66824,1.6657,1.66712
2014-02-27T04:00:00Z,1.66712,1.66765,1.66409,1.66437
2014-02-27T08:00:00Z,1.66437,1.66534,1.66157,1.66396
2014-02-27T12:00:00Z,1.66396,1.66783,1.66285,1.66703
2014-02-27T16:00:00Z,1.66703,1.66979,1.6667,1.6683
2014-02-27T20:00:00Z,1.6683,1.66913,1.66786,1.66897
2014-02-28T00:00:00Z,1.66897,1.66943,1.66758,1.66793
2014-02-28T04:00:00Z,1.66793,1.67429,1.66752,1.67307
2014-02-28T08:00:00Z,1.67307,1.67684,1.66851,1.66865
2014-02-28T12:00:00Z,1.66865,1.67623,1.66826,1.67592
2014-02-28T16:00:00Z,1.67592,1.67629,1.67263,1.67572
2014-02-28T20:00:00Z,1.67572,1.67583,1.67073,1.67331
2014-03-03T00:00:00Z,1.67331,1.67494,1.67271,1.67449
2014-03-03T04:00:00Z,1.67449,1.67476,1.67106,1.67132
2014-03-03T08:00:00Z,1.67132,1.67504,1.67006,1.67159
2014-03-03T12:00:00Z,1.67159,1.67456,1.66993,1.67182
2014-03-03T16:00:00Z,1.67182,1.67359,1.66523,1.66593
2014-03-03T20:00:00Z,1.66593,1.66682,1.66532,1.66634
2014-03-04T00:00:00Z,1.66634,1.66687,1.66395,1.66524
2014-03-04T04:00:00Z,1.66524,1.66912,1.66492,1.66897
2014-03-04T08:00:00Z,1.66897,1.67158,1.66688,1.669
2014-03-04T12:00:00Z,1.669,1.67045,1.66669,1.66718
2014-03-04T16:00:00Z,1.66718,1.6678,1.66504,1.66723
2014-03-04T20:00:00Z,1.66723,1.66756,1.66576,1.6664
2014-03-05T00:00:00Z,1.6664,1.6672,1.66555,1.66645
2014-03-05T04:00:00Z,1.66645,1.66811,1.66565,1.66713
2014-03-05T08:00:00Z,1.66713,1.66994,1.66605,1.66994
2014-03-05T12:00:00Z,1.66994,1.67411,1.6695,1.67287
2014-03-05T16:00:00Z,1.67287,1.67362,1.67098,1.67112
2014-03-05T20:00:00Z,1.67112,1.67252,1.67107,1.67125
2014-03-06T00:00:00Z,1.67125,1.6726,1.67063,1.67086
2014-03-06T04:00:00Z,1.67086,1.67283,1.67061,1.67145
2014-03-06T08:00:00Z,1.67145,1.67276,1.67013,1.67257
2014-03-06T12:00:00Z,1.67257,1.67519,1.66846,1.67167
2014-03-06T16:00:00Z,1.67167,1.67769,1.67133,1.67387
2014-03-06T20:00:00Z,1.67387,1.67449,1.67336,1.67402
2014-03-07T00:00:00Z,1.67402,1.67405,1.67269,1.6736
2014-03-07T04:00:00Z,1.6736,1.6743,1.67222,1.67269
2014-03-07T08:00:00Z,1.67269,1.67718,1.67209,1.67638
2014-03-07T12:00:00Z,1.67638,1.6785,1.67059,1.67201
2014-03-07T16:00:00Z,1.67201,1.6735,1.671,1.67245
2014-03-07T20:00:00Z,1.67245,1.67316,1.67101,1.67295
2014-03-10T00:00:00Z,1.67295,1.67406,1.67279,1.67316
2014-03-10T04:00:00Z,1.67316,1.67374,1.67022,1.6703
2014-03-10T08:00:00Z,1.6703,1.6705,1.66261,1.6636
2014-03-10T12:00:00Z,1.6636,1.66495,1.66212,1.66317
2014-03-10T16:00:00Z,1.66317,1.6649,1.66278,1.66364
2014-03-10T20:00:00Z,1.66364,1.66475,1.6636,1.66367
2014-03-11T00:00:00Z,1.66367,1.66454,1.66359,1.6641
2014-03-11T04:00:00Z,1.6641,1.66522,1.66291,1.66343
2014-03-11T08:00:00Z,1.66343,1.66449,1.65958,1.66087
2014-03-11T12:00:00Z,1.66087,1.66466,1.65974,1.66266
2014-03-11T16:00:00Z,1.66266,1.66428,1.6614,1.6614
2014-03-11T20:00:00Z,1.6614,1.66217,1.66116,1.66191
2014-03-12T00:00:00Z,1.66191,1.66322,1.6613,1.66215
2014-03-12T04:00:00Z,1.66215,1.6635,1.66196,1.66208
2014-03-12T08:00:00Z,1.66208,1.66247,1.65677,1.65913
2014-03-12T12:00:00Z,1.65913,1.66234,1.6586,1.66047
2014-03-12T16:00:00Z,1.66047,1.66261,1.6604,1.66178
2014-03-12T20:00:00Z,1.66178,1.66249,1.66143,1.66166
2014-03-13T00:00:00Z,1.66166,1.66311,1.66059,1.66273
2014-03-13T04:00:00Z,1.66273,1.66852,1.66272,1.66606
2014-03-13T08:00:00Z,1.66606,1.67176,1.66492,1.67132
2014-03-13T12:00:00Z,1.67132,1.67143,1.66738,1.66752
2014-03-13T16:00:00Z,1.66752,1.66846,1.66091,1.66152
2014-03-13T20:00:00Z,1.66152,1.66252,1.66138,1.66207
